name,Feedstock,Hydrochar,Hydrochar HHV,TOPSIS Score
stdBSG_sa_ub_190C_3hr,0.20194187047576678,0.0024421180473568247,0.06954999055954124,0.7757152440532527
stdBSG_sa_lb_190C_3hr,0.20604416930059555,0.002427478732460388,0.06917174984277726,0.7723515780678799
rawSRU50_rawDCW50_sa_ub_190C_3hr,0.20510820938677732,0.002465880771630371,0.07009127370504126,0.7714875791518132
rawSRU33_rawDCW33_rawBSG33_sa_ub_190C_3hr,0.21017885181214477,0.002436237599676675,0.06934408539063441,0.7678814946712258
rawSRU50_rawDCW50_190C_3hr,0.21297299115031845,0.002435039933863055,0.06929683885959977,0.7651871147958554
rawSRU33_rawDCW33_rawBSG33_190C_3hr,0.21529504565229884,0.0024181922823304338,0.06887896057144151,0.7636624655800769
rawSRU33_rawDCW33_rawBSG33_sa_lb_190C_3hr,0.22043513392114916,0.0024014940233848974,0.06844862326572691,0.7593453957567287
rawSRU50_rawDCW50_sa_lb_190C_3hr,0.22090612098488233,0.0024078262809764956,0.06859617492217067,0.7586052803482597
stdBSG_190C_3hr,0.20808993289877578,0.0024346833489633382,0.089424963187377,0.7500823312271501
rawSRU50_rawDCW50_sa_ub_220C_3hr,0.19944538862565042,0.003059902556961669,0.08565604051872604,0.7442437663678508
rawSRU33_rawDCW33_rawBSG33_sa_ub_220C_3hr,0.20317550400846235,0.0030171993913313115,0.08468891316312771,0.743267203312862
rawDCW50_rawBSG50_sa_lb_220C_3hr,0.14315259757300886,0.003768560494240661,0.1028071807094689,0.7420326213878355
rawDCW50_rawBSG50_220C_3hr,0.14237642866935452,0.003792991418588705,0.10340680693434721,0.740771778547812
rawSRU33_rawDCW33_rawBSG33_220C_3hr,0.20782074577767667,0.0029892736006603563,0.08399941319574865,0.7406388393790767
rawSRU50_rawDCW50_220C_3hr,0.20660141232596563,0.003012277951791109,0.08448415525756225,0.7405343175222187
rawDCW50_rawBSG50_sa_ub_220C_3hr,0.14160888043347652,0.0038182269483988483,0.10402649182631556,0.73943836058882
rawSRU33_rawDCW33_rawBSG33_sa_lb_220C_3hr,0.21249396328723774,0.0029634302891951843,0.08336145825213734,0.7378117923816967
rawSRU50_rawDCW50_sa_lb_220C_3hr,0.21383744114924982,0.002970244472292174,0.08345050805984942,0.7362869323604316
rawSRU50_rawBSG50_sa_ub_190C_3hr,0.24813736411689438,0.0023132641144860684,0.06635414063999606,0.7359126919317394
stdBSG_sa_ub_220C_3hr,0.22517880834168,0.0028907524061336054,0.08165949170256158,0.7299516531635531
rawSRU50_rawBSG50_190C_3hr,0.2550677219782119,0.002300059116710255,0.06600613246180054,0.7297991811102631
stdBSG_sa_lb_220C_3hr,0.22968682624758946,0.002871977621872314,0.08119195050874124,0.7267616007307889
rawSRU50_rawBSG50_sa_lb_190C_3hr,0.26200915438284184,0.0022877913547769044,0.06568266072207533,0.723693963560169
stdSRU_sa_ub_190C_3hr,0.27246003559751936,0.0022662612742285772,0.06525330670536805,0.7146439445157409
stdBSG_220C_3hr,0.23387089271949785,0.0028812174992469872,0.09884557812231466,0.7043278071968861
stdSRU_190C_3hr,0.2880272941399715,0.002247928398340107,0.06532435782977634,0.7006885583698532
rawSRU50_rawBSG50_sa_ub_220C_3hr,0.27013508354414734,0.0027404956954951787,0.07804660714274489,0.6959530355343326
stdSRU_sa_lb_190C_3hr,0.29835181189679777,0.0022319108747668264,0.06432893166861232,0.6924712433390985
rawDCW50_rawBSG50_sa_lb_250C_3hr,0.1789712534720474,0.004107501544317735,0.11173383672278833,0.6923682235039519
rawDCW50_rawBSG50_250C_3hr,0.17791705280739464,0.004132425372158317,0.11233260339361811,0.6914041542301447
rawDCW50_rawBSG50_sa_ub_250C_3hr,0.17687273256742891,0.004158168069278243,0.11295138594097452,0.6903658178999713
rawSRU50_rawBSG50_220C_3hr,0.2775649685411652,0.002723052614911889,0.07760516172917187,0.6900865818927818
rawSRU50_rawBSG50_sa_lb_220C_3hr,0.28500777251354775,0.0027068499705952573,0.07719481804264462,0.6842094944760291
stdBSG_sa_ub_250C_3hr,0.2506971928876858,0.0033384785977025877,0.09378962940921833,0.6817807512219628
rawSRU50_rawDCW50_sa_ub_250C_3hr,0.24955333448797876,0.0033852271357426586,0.09499682319648614,0.6800891544866798
rawSRU33_rawDCW33_rawBSG33_sa_ub_250C_3hr,0.25256743628508055,0.00335427979539893,0.09421124939444865,0.6792538843564084
stdBSG_sa_lb_250C_3hr,0.2556685851163163,0.003315709218216692,0.09323531639224869,0.6787397072788224
rawSRU33_rawDCW33_rawBSG33_250C_3hr,0.25850095785930094,0.0033252819726243064,0.09350174229967924,0.6757417184844604
rawSRU50_rawDCW50_250C_3hr,0.25879828235001284,0.003336582511733504,0.09380264377684758,0.6748433235786931
rawSRU33_rawDCW33_rawBSG33_sa_lb_250C_3hr,0.26446645770531363,0.003298443997752577,0.09284520904097895,0.6720666851781251
rawSRU50_rawDCW50_sa_lb_250C_3hr,0.26813473319717307,0.003293642738525635,0.09274916749199735,0.6691571246515224
stdBSG_250C_3hr,0.2617674574957454,0.0033269150996217685,0.10460538674215732,0.6610843717355422
stdSRU_sa_ub_220C_3hr,0.3384963819454604,0.0026134266779758984,0.07489809024732973,0.6432195236486492
stdSRU_220C_3hr,0.3595607268451321,0.0025926152832030504,0.07335478989294379,0.6285535322661612
rawSRU50_rawBSG50_sa_ub_250C_3hr,0.34218667518801593,0.003056020737309878,0.08717081916036264,0.6201560730567803
stdSRU_sa_lb_220C_3hr,0.370945408784691,0.0025744391234557157,0.07389323111044364,0.6200925115359339
rawSRU50_rawBSG50_250C_3hr,0.35178052715149305,0.0030382841938350093,0.08672269133680034,0.6137221834709718
rawSRU50_rawBSG50_sa_lb_250C_3hr,0.36138904941668426,0.003021807415273041,0.08630608747822655,0.6073763224106243
stdSRU_sa_ub_250C_3hr,0.39218388445926955,0.0029645326794182497,0.08516108721455772,0.5880919641251429
stdSRU_250C_3hr,0.4156847614440788,0.002941471680636201,0.08124817280761813,0.5764941893945236
stdSRU_sa_lb_250C_3hr,0.42981886517460344,0.002921323791740216,0.0840262284742539,0.566139344864437
rawDCW_sa_lb_190C_3hr,0.06833628569615759,0.007578901497089133,0.21215875388070027,0.5028322277086847
rawDCW_sa_lb_220C_1hr,0.06704079016907853,0.007693693827178508,0.2125660210200835,0.4998528632841178
rawDCW_sa_ub_190C_3hr,0.06689896789575774,0.007573925083658446,0.21593715859527304,0.4997495147763481
rawDCW_sa_ub_220C_1hr,0.06602013366639764,0.00768422767887469,0.2176353793127358,0.49538006221576225
rawDCW_220C_1hr,0.06792662261817055,0.007555601952543597,0.26146961908499355,0.45485048992005056
rawDCW_190C_3hr,0.06855821363994175,0.007466952851112456,0.26644010450972855,0.4522118075923563
rawDCW_sa_lb_250C_1hr,0.07675181544200499,0.008889068344954313,0.2430368784868144,0.4348729199444439
rawDCW_sa_ub_250C_1hr,0.07574595797046213,0.008851774442210383,0.2493683679648339,0.43073344478246195
rawDCW_sa_lb_190C_1hr,0.05503401875491309,0.009176243016655634,0.25981689500718463,0.4281534451964644
rawDCW_sa_ub_190C_1hr,0.054103910229003946,0.009259592624888886,0.26556032614042224,0.4227171178204124
rawDCW_sa_lb_220C_3hr,0.07815758666203329,0.009586100574345967,0.26489873410133036,0.40231640771466554
rawDCW_250C_1hr,0.0783529763676072,0.008703889125857043,0.28928853864760196,0.40046690406562346
rawDCW_sa_ub_220C_3hr,0.07671289769053924,0.009544254784153763,0.2703183379208144,0.39991391136731935
rawDCW_190C_1hr,0.0549267858130792,0.009096926307607462,0.3200145073349393,0.3898382795186751
rawDCW_sa_lb_250C_3hr,0.09226955576654099,0.01010468321479566,0.2779583964885613,0.37532300593948986
rawDCW_sa_ub_250C_3hr,0.09067164518588347,0.010050056160828403,0.28398228049180463,0.37315882855879573
rawDCW_220C_3hr,0.07911467631215102,0.00940676138036354,0.3266601454641819,0.36617623650518716
rawDCW_250C_3hr,0.0937670349463559,0.009909366267332582,0.32775588934905026,0.34896291947412844
